source,stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
vins,1776726674,332901078,-9.78722e-05,0.000345884,-0.000196959,0.000939179,0.00130303,-0.00013848,0.999999
vins,1776726674,349630078,-6.77379e-05,0.000241259,-0.000260092,0.000933283,0.00129662,-0.000141642,0.999999
vins,1776726674,366134078,-7.25552e-05,0.000230519,-0.000239402,0.000932025,0.00131301,-0.000139359,0.999999
vins,1776726674,382856078,-3.16191e-05,0.00022595,-0.000208274,0.000927393,0.00130998,-0.000120948,0.999999
vins,1776726674,399393078,-0.000108153,0.000190793,-0.000179754,0.000923734,0.00131961,-9.36432e-05,0.999999
vins,1776726674,416195078,-0.000195096,0.000214981,-0.000113869,0.000921344,0.0013328,-8.85591e-05,0.999999
vins,1776726674,432863078,-0.000212535,0.000211923,-0.000157121,0.000925704,0.00132201,-8.34513e-05,0.999999
vins,1776726674,449439078,-0.000144872,0.000146189,-0.000199808,0.000928234,0.00131808,-6.15355e-05,0.999999
vins,1776726674,466132078,-4.20485e-05,0.000136177,-0.000225821,0.000929145,0.00131984,-5.71233e-05,0.999999
vins,1776726674,482899078,-5.07104e-06,0.00012645,-0.000231369,0.000944237,0.00130112,-5.19068e-05,0.999999
vins,1776726674,499385078,-2.63577e-05,0.000193019,-0.000167648,0.00095534,0.00131508,-6.49302e-05,0.999999
vins,1776726674,516153078,-7.82093e-05,0.00026652,-0.00018942,0.000957171,0.00131293,-8.06628e-05,0.999999
vins,1776726674,532879078,-1.42646e-05,0.000249928,-0.000161114,0.000971421,0.00131244,-0.000106432,0.999999
vins,1776726674,549521078,0.000154313,6.41259e-05,-0.000197876,0.000950587,0.00130841,-0.000108266,0.999999
vins,1776726674,566238078,0.000134611,8.42374e-05,-0.000250823,0.000950393,0.00130229,-0.000112593,0.999999
vins,1776726674,582794078,9.53818e-06,0.000127024,-0.000229068,0.000942751,0.00130839,-0.000105146,0.999999
vins,1776726674,599652078,-0.00013718,0.000183785,-0.000176817,0.00092328,0.00132987,-0.000101782,0.999999
vins,1776726674,616149078,-0.000173944,0.000194056,-0.0001766,0.000924582,0.00132449,-9.20535e-05,0.999999
vins,1776726674,666138078,-8.88329e-05,0.000185871,-0.000183616,0.00092374,0.00132188,-7.51401e-05,0.999999
vins,1776726674,682886078,-3.42131e-05,0.000143802,-0.000212022,0.000930346,0.00131997,-6.70704e-05,0.999999
vins,1776726674,699505078,-6.06219e-05,0.000137611,-0.000179362,0.000943913,0.00132092,-7.3347e-05,0.999999
vins,1776726674,749616078,-1.0174e-06,0.000138828,-0.000218192,0.000953369,0.00131166,-9.8367e-05,0.999999
